1 ALLEN STREET,Unspecified,Unknown,Unknown
125 ALLEN STREET,5,987003,201522
125 CHRYSTIE STREET,5,986106,201299
125 CHRYSTIE STREET,Unspecified,986106,201299
125 ELIZABETH STREET,Unspecified,985510,201378
125 GRAND STREET,Unspecified,984160,201832
125 MADISON STREET,5,985928,198806
125 MADISON STREET,Unspecified,985928,198806
125 STANTON STREET,7,987957,201912
125 THOMPSON STREET,1,983869,203925
125 WEST 109 STREET,24,994669,231311
1250 ST NICHOLAS AVENUE,Unspecified,Unknown,Unknown
1255 PARK AVENUE,23,997627,226035
1259 PARK AVENUE,23,997572,226167
1259 PARK AVENUE,23,997572,226167
1259 PARK AVENUE,23,997572,226167
126 BOWERY,5,985708,201102
126 BOWERY,5,985708,201102
126 DYCKMAN STREET,34,1004939,253445
126 EAST 116 STREET,25,1000251,230330
126 EAST 126 STREET,25,1001570,232658
126 NAGLE AVENUE,34,1004628,252982
126 NAGLE AVENUE,34,1004628,252982
126 WEST 11 STREET,6,984464,207340
1260 AMSTERDAM AVENUE,26,995818,234650
1260 LEXINGTON AVENUE,19,996391,222990
1261 BROADWAY,14,987504,211753
1264 AMSTERDAM AVENUE,26,995840,234691
127 DIVISION STREET,7,986586,199571
127 EAST 102 STREET,23,998468,227067
127 ELDRIDGE STREET,Unspecified,986566,201157
127 LUDLOW STREET,7,987435,201518
1275 1 AVENUE,19,996004,218234
1276 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
128 ELIZABETH STREET,5,985524,201404
128 ELIZABETH STREET,5,985524,201404
128 FT WASHINGTON AVENUE,33,999955,245212
128 SEAMAN AVENUE,34,1005479,255801
128 WEST 116 STREET,28,997867,231650
128 WOOSTER STREET,1,984182,203485
1280 ST NICHOLAS AVENUE,33,1001691,247097
1282 LEXINGTON AVENUE,19,996588,223345
1287 ST NICHOLAS AVENUE,33,1001716,247155
129 1 AVENUE,9,988294,204307
129 EAST 124 STREET,25,1001303,232171
129 EAST 15 STREET,13,987589,206885
129 EAST 97 STREET,23,997916,225875
129 RIVINGTON STREET,7,987888,201454
129 RIVINGTON STREET,7,987888,201454
129 RIVINGTON STREET,7,987888,201454
129 WADSWORTH AVENUE,Unspecified,Unknown,Unknown
129 WEST 131 STREET,Unspecified,Unknown,Unknown
1295 LEXINGTON AVENUE,19,996720,223571
1295 LEXINGTON AVENUE,19,996720,223571
1297 LEXINGTON AVENUE,19,996731,223591
1297 LEXINGTON AVENUE,19,996731,223591
13 CHATHAM SQUARE,5,984852,199349
13 DOYERS STREET,5,984769,199596
13 JERSEY STREET,Unspecified,985477,203130
130 DIVISION STREET,7,986507,199569
130 DYCKMAN STREET,34,1004923,253477
130 DYCKMAN STREET,34,1004923,253477
130 DYCKMAN STREET,34,1004923,253477
130 EAST 29 STREET,13,989300,210028
130 ELDRIDGE STREET,5,986573,201158
130 ELDRIDGE STREET,5,986573,201158
130 HAMILTON PLACE,30,998349,239482
130 POST AVENUE,34,1006420,254299
130 PRINCE STREET,1,984170,203583
130 WEST 42 STREET,14,988358,214445
130 WEST HOUSTON STREET,6,983835,204406
1300 3 AVENUE,19,995501,220336
1305 LEXINGTON AVENUE,19,996776,223671
1305 LEXINGTON AVENUE,19,996776,223671
1306 ST NICHOLAS AVENUE,33,1001860,247402
131 ALLEN STREET,Unspecified,Unknown,Unknown
131 CHRYSTIE STREET,5,986130,201362
131 CHRYSTIE STREET,5,986130,201362
131 EAST 60 STREET,19,993068,217279
